#timestamp(s) tx ty tz qx qy qz qw
1413393886.000761 0.00294917 0.00003248 -0.00401652 0.00034119 0.00058019 0.00081692 0.99999944
1413393886.005760 0.00424298 0.00007170 -0.00578856 0.00024436 0.00068825 0.00103344 0.99999920
1413393886.020761 0.00950244 0.00018782 -0.01301810 -0.00007827 0.00087629 0.00164283 0.99999826
1413393886.025760 0.01172000 0.00020117 -0.01605859 -0.00006591 0.00089901 0.00184877 0.99999788
1413393886.030761 0.01417489 0.00020119 -0.01941663 0.00001795 0.00095241 0.00205028 0.99999744
1413393886.035760 0.01686682 0.00019483 -0.02309290 0.00012358 0.00102855 0.00225176 0.99999693
1413393886.055760 0.02995665 0.00023618 -0.04099291 0.00011134 0.00135646 0.00295872 0.99999470
1413393886.065761 0.03787655 0.00027743 -0.05185511 -0.00004628 0.00142577 0.00335251 0.99999336
1413393886.070760 0.04218263 0.00028878 -0.05776534 -0.00008357 0.00144572 0.00356200 0.99999261
1413393886.085761 -0.00012612 -0.00047515 -0.00024755 -0.00609591 -0.80589906 0.00153165 0.59201959
1413393886.090760 -0.00013116 -0.00052318 -0.00026915 -0.00620546 -0.80586115 0.00169181 0.59206962
1413393886.100760 -0.00014051 -0.00059727 -0.00031834 -0.00653085 -0.80580097 0.00198106 0.59214713
1413393886.105761 -0.00014367 -0.00061883 -0.00034885 -0.00675470 -0.80577834 0.00207271 0.59217510
1413393886.110760 -0.00014457 -0.00063535 -0.00037660 -0.00698894 -0.80576413 0.00212230 0.59219154
1413393886.120760 -0.00014357 -0.00068494 -0.00042080 -0.00735661 -0.80571215 0.00223909 0.59225737
1413393886.125761 0.00078919 -0.00117407 -0.00136431 -0.00712959 -0.80553962 0.00223226 0.59249482
1413393886.160760 0.00112995 -0.00146142 -0.00175515 -0.00815880 -0.80529069 0.00303538 0.59281627
1413393886.165761 0.00118920 -0.00148767 -0.00180612 -0.00831856 -0.80523983 0.00313059 0.59288263
1413393886.170760 0.00124869 -0.00151553 -0.00186049 -0.00845789 -0.80520759 0.00323601 0.59292388
1413393886.175761 -0.00190973 0.00082067 -0.00567967 -0.01399141 -0.80917362 0.01189323 0.58728260
1413393886.195760 -0.00225888 0.00139640 -0.00634737 -0.01444722 -0.80900273 0.01236118 0.58749729
1413393886.200761 -0.00235382 0.00156205 -0.00651485 -0.01456344 -0.80895008 0.01247025 0.58756461
1413393886.210761 -0.00255205 0.00192768 -0.00685762 -0.01479831 -0.80889858 0.01257794 0.58762734
1413393886.215760 -0.00265375 0.00212040 -0.00703001 -0.01491438 -0.80887374 0.01262327 0.58765763
1413393886.220761 -0.00275637 0.00231711 -0.00720347 -0.01503858 -0.80883781 0.01268270 0.58770264
1413393886.240761 -0.00147372 0.00440553 -0.00305201 -0.01373557 -0.80908396 0.01267369 0.58739582
1413393886.270761 -0.00196706 0.00609304 -0.00354619 -0.01432865 -0.80901806 0.01306155 0.58746392
1413393886.275760 0.00013378 0.00110825 -0.00352058 -0.00632468 -0.80508519 0.00313613 0.59311720
1413393886.300761 0.00038084 0.00135580 -0.00391482 -0.00629124 -0.80505963 0.00325625 0.59315160
1413393886.305760 0.00043768 0.00142773 -0.00399632 -0.00637959 -0.80504288 0.00325540 0.59317339
1413393886.310760 0.00049708 0.00149759 -0.00408093 -0.00645242 -0.80503132 0.00325944 0.59318827
1413393886.320760 0.00062900 0.00162049 -0.00425130 -0.00653682 -0.80500271 0.00334479 0.59322569
